Time	Accel_1	Accel_2	Accel_3	Angle	Temp_1	Temp_2	Temp_3	PG_1	PG_2	PG_3	Lim_2	Lim_3	Lim_1	Internal_Temp	F_Names	F_Values	Prediction
1	8317	8175	8142	8348	0	0	117	475	3438	3724	4928	1908	0	24.89	Var_Accel1	5.378	3
2	8294	8212	8141	8349	0	0	230	741	2867	0	2968	1194	0	24.89	Var_Accel2	10.062	5.000
3	8280	8212	8137	8348	0	1	372	1235	2411	0	1789	723	0	24.89	Var_Accel3	33.398	15.000
4	8277	8205	8143	8347	0	2	533	1849	2147	0	1096	415	0	24.89	Mean_of_PG1	5177.008	0.000
5	8282	8226	8159	8345	0	3	704	2356	2026	0	684	207	0	24.89	Mean_of_PG2	362.068	40.000
6	8309	8239	8165	8349	0	4	883	2611	1968	0	429	69	0	24.89	Var_of_PG1	14326.348	40.000
7	8317	8242	8169	8348	0	5	1064	2918	1919	0	275	5	0	24.89	Var_of_PG2	449552.063	25.000
8	8325	8243	8174	8348	0	5	1246	3482	1853	0	186	0	0	24.89	Slope_of_Angle	970755.625	
9	8312	8235	8172	8348	3	6	1426	4095	1763	0	151	0	0	24.89	Sum_Diff_Press	16560477.0	
10	8285	8209	8187	8347	10	9	1610	4536	1659	0	162	0	0	24.89	Temp_Diff_Var	-2557.0	
11	8279	8219	8179	8348	26	17	1800	4828	1543	0	208	0	0	24.89	F11	13847766.0	
12	8284	8198	8177	8350	55	33	2003	5121	1419	3980	347	143	0	24.89	F12	960.01	
13	8305	8201	8168	8349	100	64	2195	5487	1301	6772	540	448	0	24.89	F13	6824.0	
14	8320	8213	8157	8348	163	113	2393	5860	1200	8116	717	744	0	24.89	F14	23.0	
15	8310	8212	8164	8351	265	179	2621	6183	1135	9677	876	1019	0	24.89	F15	24.0	
16	8302	8221	8171	8350	429	276	2917	6492	1111	11968	1905	1481	0	24.89	F16	25.0	
17	8294	8244	8173	8349	649	440	3253	6785	1076	15787	1625	3480	0	24.89	F17	26.0	
18	8299	8229	8181	8348	912	667	3624	7046	1054	16266	1485	2663	0	24.89	F18	27.0	
19	8306	8241	8175	8347	1206	940	4018	7196	1034	16380	1405	1925	0	24.89			
20	8308	8226	8172	8350	1526	1248	4428	7194	1033	16362	1342	1527	0	24.89			
21	8316	8231	8148	8350	1865	1584	4848	7092	1113	16341	1443	1279	0	24.89			
22	8291	8256	8150	8349	2218	1941	5280	6503	1281	16331	2124	1147	0	24.89			
23	8267	8192	8177	8347	2578	2312	5724	5361	1401	16321	1757	1058	0	24.89			
24	8448	8244	7922	8351	2937	2677	6205	3697	1749	16315	1533	992	0	24.89			
25	8731	8102	7838	8361	3292	3023	6719	3188	2810	16313	1335	946	0	24.89			
26	8328	8170	7942	8378	3652	3377	7234	3507	3034	16308	1237	912	0	24.89			
27	8215	8259	8073	8391	4019	3781	7728	3411	3113	16299	883	876	0	24.89			
28	8157	8298	7988	8405	4385	4246	8209	3253	3027	16285	352	834	0	24.89			
29	8303	8143	8034	8416	4743	4653	8673	3110	2904	16201	709	824	0	24.89			
30	8317	8164	8145	8431	5094	5025	9130	2905	2761	16289	829	813	0	24.89			
31	8166	8177	8037	8446	5440	5382	9576	2690	2582	16288	888	811	0	24.89			
32	8387	8137	8186	8456	5775	5733	10017	2456	2397	16286	920	810	0	24.89			
33	8264	8212	8116	8471	6107	6074	10447	2311	2251	16286	934	810	0	24.89			
34	8379	8102	8140	8471	6429	6409	10864	2241	2200	16286	935	807	0	24.89			
35	8301	8218	8183	8485	6746	6735	11264	2277	2197	16279	912	804	0	24.89			
36	8208	8236	8101	8487	7051	7051	11632	2362	2234	16271	869	795	0	24.89			
37	8319	8254	8282	8503	7347	7358	11974	2439	2279	16263	921	792	0	24.89			
38	8303	8308	8231	8501	7634	7655	12313	2542	2346	16264	1123	800	0	24.89			
39	8298	8295	8276	8514	7911	7943	12657	2660	2441	16264	1435	815	0	24.89			
40	8315	8269	8320	8521	8178	8221	13000	2763	2521	16264	1516	830	0	24.89			
41	8290	8248	8300	8526	8436	8492	13332	2809	2575	16263	1292	831	0	24.89			
42	8348	8161	8361	8538	8687	8748	13648	2821	2622	16259	1166	826	0	24.89			
43	8270	8202	8274	8550	8922	8996	13945	2867	2676	16256	1095	819	0	24.89			
44	8307	8175	8251	8557	9151	9231	14242	2926	2757	16254	1052	813	0	24.89			
45	8310	8199	8247	8567	9372	9458	14507	3016	2846	16256	1024	807	0	24.89			
46	8328	8215	8209	8582	9583	9677	14763	3114	2941	16252	1003	803	0	24.89			
47	8324	8210	8208	8592	9784	9883	15000	3199	3034	16206	996	799	0	24.89			
48	8278	8271	8117	8598	9974	10080	15222	3280	3125	16109	985	793	0	24.89			
49	8281	8283	8103	8609	10155	10267	15426	3352	3205	15993	979	787	0	24.89			
50	8309	8224	8133	8621	10330	10446	15620	3406	3268	15780	966	778	0	24.89			
51	8284	8256	8079	8634	10493	10616	15778	3450	3307	15545	915	764	0	24.89			
52	8317	8199	8085	8638	10647	10773	15922	3482	3338	15273	875	749	0	24.89			
53	8299	8244	8038	8650	10792	10922	16031	3514	3365	15130	779	732	0	24.89			
54	8318	8200	8049	8664	10930	11066	16128	3545	3380	15007	714	716	0	24.89			
55	8299	8215	8031	8665	11061	11192	16205	3555	3383	14763	626	695	0	24.89			
56	8294	8211	8021	8678	11174	11319	16262	3557	3369	14550	521	679	0	24.89			
57	8302	8204	8034	8693	11284	11417	16311	3543	3367	14227	503	659	0	24.89			
58	8315	8209	8059	8702	11385	11520	16338	3539	3370	13819	630	641	0	24.89			
59	8315	8224	8086	8707	11479	11611	16361	3542	3375	13439	698	626	0	24.89			
60	8293	8182	8136	8722	11563	11694	16377	3541	3373	13129	728	610	0	24.89			
61	8275	8224	8134	8731	11638	11771	16383	3536	3363	12850	744	595	0	24.89			
62	8300	8196	8182	8737	11706	11843	16383	3509	3354	12580	745	579	0	24.89			
63	8317	8219	8179	8748	11767	11909	16383	3496	3333	12355	746	566	0	24.89			
64	8324	8234	8182	8764	11826	11968	16383	3472	3322	12238	745	555	0	24.89			
65	8312	8220	8196	8776	11872	12019	16383	3465	3305	12132	761	548	0	24.89			
66	8308	8211	8221	8780	11920	12069	16383	3456	3303	11996	770	540	0	24.89			
67	8297	8212	8236	8788	11965	12117	16383	3452	3296	11835	767	532	0	24.89			
68	8286	8216	8238	8803	12003	12157	16383	3448	3294	11621	761	524	0	24.89			
69	8296	8243	8232	8816	12038	12189	16383	3438	3280	11423	756	514	0	24.89			
70	8292	8223	8243	8815	12072	12223	16383	3429	3270	11147	742	499	0	24.89			
71	8300	8216	8258	8831	12104	12251	16383	3418	3251	10863	728	485	0	24.89			
72	8289	8201	8252	8841	12130	12271	16383	3408	3247	10618	710	471	0	24.89			
73	8294	8202	8225	8846	12156	12286	16383	3411	3243	10408	695	458	0	24.89			
74	8308	8210	8210	8859	12179	12300	16383	3406	3244	10236	680	446	0	24.89			
75	8315	8200	8189	8870	12202	12312	16383	3404	3240	10073	664	436	0	24.89			
76	8320	8197	8171	8884	12219	12321	16383	3396	3230	9913	652	426	0	24.89			
77	8315	8208	8142	8887	12237	12330	16383	3390	3227	9678	640	413	0	24.89			
78	8307	8225	8113	8902	12253	12348	16383	3382	3216	9459	623	402	0	24.89			
79	8309	8242	8109	8913	12265	12348	16383	3374	3212	9239	608	390	0	24.89			
80	8294	8236	8103	8916	12284	12354	16383	3369	3206	9011	587	376	0	24.89			
81	8297	8228	8102	8927	12288	12361	16383	3363	3200	8750	568	363	0	24.89			
82	8297	8219	8098	8941	12295	12366	16383	3355	3191	8477	550	350	0	24.89			
83	8307	8232	8082	8950	12303	12370	16383	3345	3183	8189	533	336	0	24.89			
84	8314	8240	8068	8958	12311	12375	16383	3339	3175	7842	534	318	0	24.89			
85	8307	8229	8067	8969	12317	12378	16383	3338	3159	7548	511	301	0	24.89			
86	8304	8224	8070	8983	12321	12382	16383	3318	3151	7284	498	286	0	24.89			
87	8301	8214	8083	8997	12331	12385	16383	3304	3134	6957	476	269	0	24.89			
88	8304	8210	8095	8996	12330	12386	16383	3300	3132	6543	449	247	0	24.89			
89	8304	8223	8107	9014	12334	12393	16383	3294	3134	6120	418	226	0	24.89			
90	8295	8212	8129	9025	12343	12390	16383	3293	3134	5690	388	203	0	24.89			
91	8293	8215	8153	9035	12343	12393	16383	3298	3137	5241	356	178	0	24.89			
92	8289	8221	8165	9038	12344	12395	16383	3300	3138	4749	318	149	0	24.89			
93	8298	8224	8173	9051	12348	12397	16383	3301	3146	4245	281	121	0	24.89			
94	8312	8252	8175	9063	12348	12397	16383	3303	3146	3791	249	92	0	24.89			
95	8320	8228	8195	9078	12348	12398	16383	3310	3152	3349	224	63	0	24.89			
96	8319	8222	8216	9078	12348	12399	16383	3308	3147	2950	189	34	0	24.89			
97	8311	8205	8236	9093	12353	12398	16383	3307	3150	2619	159	10	0	24.89			
98	8301	8202	8240	9104	12348	12404	16383	3311	3146	2324	129	0	0	24.89			
99	8303	8217	8235	9109	12348	12400	16380	3312	3148	2058	101	0	0	24.89			
100	8295	8222	8229	9119	12351	12399	16375	3307	3149	1837	78	0	0	24.89			
101	8297	8222	8226	9132	12348	12398	16362	3317	3149	1644	56	0	0	24.89			
102	8295	8228	8219	9149	12348	12406	16352	3321	3153	1469	34	0	0	24.89			
103	8296	8216	8209	9148	12348	12400	16352	3323	3158	1206	14	0	0	24.89			
104	8304	8229	8186	9161	12348	12401	16350	3327	3162	957	1	0	0	24.89			
105	8303	8220	8170	9176	12348	12401	16344	3329	3166	746	0	0	0	24.89			
106	8311	8216	8152	9188	12348	12400	16341	3331	3166	542	0	0	0	24.89			
107	8309	8219	8136	9189	12346	12400	16340	3331	3169	259	0	0	0	24.89			
108	8305	8222	8115	9204	12348	12400	16338	3337	3169	33	0	0	0	24.89			
109	8305	8232	8105	9217	12348	12401	16334	3336	3180	0	0	0	0	24.89			
110	8300	8231	8101	9217	12347	12399	16333	3337	3174	0	0	0	0	24.89			
111	8301	8223	8102	9229	12348	12399	16333	3338	3179	0	0	0	0	24.89			
112	8301	8218	8103	9244	12348	12401	16332	3336	3176	0	0	0	0	24.89			
113	8305	8213	8098	9253	12348	12401	16331	3337	3175	0	0	0	0	24.89			
114	8308	8223	8087	9258	12348	12398	16329	3337	3175	0	0	0	0	24.89			
115	8308	8220	8086	9275	12348	12398	16329	3340	3174	0	0	0	0	24.89			
116	8303	8219	8093	9284	12345	12399	16329	3339	3173	0	0	0	0	24.89			
117	8299	8208	8107	9291	12350	12405	16329	3340	3175	0	0	0	0	24.89			
118	8301	8203	8125	9297	12354	12402	16331	3339	3174	0	0	0	0	24.89			
119	8296	8201	8138	9312	12348	12398	16329	3337	3171	0	0	0	0	24.89			
120	8298	8206	8154	9323	12348	12401	16329	3340	3168	0	0	0	0	24.89			
121	8293	8209	8166	9324	12348	12401	16329	3332	3173	0	0	0	0	24.89			
122	8287	8217	8179	9339	12346	12399	16329	3334	3172	0	0	0	0	24.89			
123	8296	8219	8185	9354	12348	12399	16331	3331	3172	0	0	0	0	24.89			
124	8306	8225	8191	9353	12348	12400	16329	3325	3165	0	0	0	0	24.89			
125	8318	8222	8194	9366	12348	12400	16329	3326	3166	0	0	0	0	24.89			
126	8322	8209	8204	9380	12348	12401	16326	3322	3154	0	0	0	0	24.89			
127	8314	8205	8204	9392	12346	12401	16329	3315	3157	0	0	0	0	24.89			
128	8308	8199	8208	9394	12348	12399	16329	3323	3159	0	0	0	0	24.89			
129	8303	8211	8199	9410	12348	12401	16330	3325	3164	0	0	0	0	24.89			
130	8296	8223	8184	9422	12346	12400	16328	3333	3173	0	0	0	0	24.89			
131	8298	8227	8177	9423	12348	12407	16328	3339	3175	0	0	0	0	24.89			
132	8297	8233	8170	9436	12348	12401	16327	3343	3180	0	0	0	0	24.89			
133	8299	8229	8160	9451	12348	12401	16329	3343	3178	0	0	0	0	24.89			
134	8306	8225	8153	9456	12354	12401	16330	3341	3179	0	0	0	0	24.89			
135	8302	8225	8140	9463	12348	12401	16328	3340	3180	0	0	0	0	24.89			
136	8307	8223	8135	9480	12348	12401	16329	3341	3177	0	0	0	0	24.89			
137	8304	8219	8128	9490	12345	12403	16330	3344	3175	0	0	0	0	24.89			
138	8303	8221	8123	9492	12348	12401	16330	3343	3176	0	0	0	0	24.89			
139	8307	8226	8120	9505	12348	12402	16330	3339	3177	0	0	0	0	24.89			
140	8300	8225	8120	9519	12348	12402	16329	3342	3182	0	0	0	0	24.89			
141	8304	8225	8132	9519	12348	12402	16330	3350	3183	0	0	0	0	24.89			
142	8304	8219	8138	9533	12346	12403	16331	3347	3185	0	0	0	0	24.89			
143	8305	8215	8141	9546	12352	12402	16330	3345	3183	0	0	0	0	24.89			
144	8306	8219	8140	9548	12357	12403	16330	3347	3183	0	0	0	0	24.89			
145	8305	8218	8139	9560	12348	12403	16331	3345	3182	0	0	0	0	24.89			
146	8313	8218	8141	9575	12348	12402	16329	3344	3178	0	0	0	0	24.89			
147	8308	8212	8150	9579	12348	12402	16329	3342	3176	0	0	0	0	24.89			
148	8301	8207	8159	9589	12348	12403	16329	3343	3179	0	0	0	0	24.89			
149	8302	8211	8167	9602	12348	12404	16330	3340	3175	0	0	0	0	24.89			
150	8297	8217	8175	9616	12348	12404	16332	3338	3175	0	0	0	0	24.89			
151	8301	8222	8175	9615	12348	12406	16332	3339	3175	0	0	0	0	24.89			
152	8299	8227	8178	9629	12348	12405	16331	3340	3172	0	0	0	0	24.89			
153	8295	8225	8175	9643	12348	12406	16331	3341	3174	0	0	0	0	24.89			
154	8300	8227	8167	9650	12348	12405	16332	3340	3176	0	0	0	0	24.89			
155	8301	8218	8166	9655	12348	12406	16331	3338	3172	0	0	0	0	24.89			
156	8308	8206	8167	9671	12348	12405	16331	3335	3172	0	0	0	0	24.89			
157	8309	8200	8168	9682	12357	12403	16330	3332	3172	0	0	0	0	24.89			
158	8304	8195	8175	9684	12348	12406	16330	3333	3172	0	0	0	0	24.89			
159	8304	8202	8167	9697	12349	12406	16330	3331	3159	0	0	0	0	24.89			
160	8302	8211	8156	9712	12348	12404	16330	3315	3160	0	0	0	0	24.89			
161	8301	8217	8147	9714	12348	12407	16330	3316	3151	0	0	0	0	24.89			
162	8300	8223	8138	9726	12348	12406	16329	3318	3152	0	0	0	0	24.89			
163	8301	8221	8136	9738	12348	12404	16328	3314	3152	0	0	0	0	24.89			
164	8300	8219	8131	9750	12349	12408	16332	3309	3149	0	0	0	0	24.89			
165	8303	8216	8131	9755	12346	12409	16332	3317	3158	0	0	0	0	24.89			
166	8302	8219	8129	9767	12349	12407	16331	3327	3169	0	0	0	0	24.89			
167	8303	8214	8130	9786	12349	12408	16331	3333	3174	0	0	0	0	24.89			
168	8300	8221	8130	9784	12349	12405	16330	3340	3174	0	0	0	0	24.89			
169	8300	8221	8135	9796	12348	12405	16330	3331	3174	0	0	0	0	24.89			
170	8299	8227	8141	9809	12349	12407	16332	3335	3174	0	0	0	0	24.89			
171	8299	8232	8149	9823	12358	12409	16332	3333	3171	0	0	0	0	24.89			
172	8299	8229	8160	9822	12349	12406	16331	3331	3169	0	0	0	0	24.89			
173	8303	8225	8163	9837	12349	12410	16332	3331	3167	0	0	0	0	24.89			
174	8307	8224	8167	9851	12349	12410	16331	3332	3173	0	0	0	0	24.89			
175	8306	8220	8164	9850	12350	12410	16332	3330	3165	0	0	0	0	24.89			
176	8310	8227	8164	9865	12350	12408	16331	3322	3165	0	0	0	0	24.89			
177	8310	8220	8170	9878	12350	12406	16332	3326	3170	0	0	0	0	24.89			
178	8312	8217	8177	9887	12349	12411	16332	3332	3175	0	0	0	0	24.89			
179	8307	8222	8178	9892	12348	12410	16332	3335	3174	0	0	0	0	24.89			
180	8308	8216	8184	9904	12350	12411	16331	3332	3173	0	0	0	0	24.89			
181	8305	8228	8177	9919	12350	12409	16332	3333	3171	0	0	0	0	24.89			
182	8302	8229	8168	9923	12349	12408	16330	3331	3174	0	0	0	0	24.89			
183	8299	8227	8166	9935	12349	12409	16330	3336	3174	0	0	0	0	24.89			
184	8299	8230	8154	9947	12349	12408	16331	3333	3171	0	0	0	0	24.89			
185	8302	8221	8153	9948	12354	12410	16331	3335	3172	0	0	0	0	24.89			
