Time	Accel_1	Accel_2	Accel_3	Angle	Temp_1	Temp_2	Temp_3	PG_1	PG_2	PG_3	Lim_2	Lim_3	Lim_1	Internal_Temp	F_Names	F_Values	Prediction
1	8315	8165	8141	12614	0	0	117	3655	556	3614	5476	2292	0	24.9	Var_Accel1	3.75	4
2	8296	8224	8177	12617	0	0	230	3133	705	0	3713	1436	0	24.9	Var_Accel2	10.113	10.000
3	8312	8212	8135	12615	0	0	371	2646	970	0	2290	891	0	24.9	Var_Accel3	34.441	15.000
4	8325	8234	8126	12616	0	0	531	2315	1404	0	1426	530	0	24.9	Mean_of_PG1	353.217	0.000
5	8323	8259	8135	12615	0	0	703	2118	1986	0	886	289	0	24.9	Mean_of_PG2	5369.827	34.375
6	8310	8275	8115	12617	0	0	885	2032	2520	0	544	129	0	24.9	Var_of_PG1	12668.259	40.625
7	8301	8236	8144	12616	0	1	1064	1986	2899	0	329	27	0	24.9	Var_of_PG2	939951.688	25.000
8	8276	8239	8130	12615	0	1	1242	1929	3272	0	199	0	0	24.9	Slope_of_Angle	516310.563	
9	8286	8214	8142	12615	3	3	1422	1857	3775	0	120	0	0	24.9	Sum_Diff_Press	35148008.0	
10	8300	8220	8153	12616	10	6	1609	1768	4307	0	89	0	0	24.9	Temp_Diff_Var	2398.0	
11	8316	8195	8158	12616	27	14	1800	1666	4735	0	95	0	0	24.9	F11	-14427768.0	
12	8318	8196	8160	12616	56	31	2003	1557	5061	3858	198	162	0	24.9	F12	1073.509	
13	8306	8186	8160	12616	101	62	2193	1430	5386	6826	364	467	0	24.9	F13	7105.5	
14	8304	8192	8163	12616	164	109	2391	1327	5725	8246	506	767	0	24.9	F14	23.0	
15	8298	8208	8156	12617	270	175	2621	1241	6083	9824	636	1047	0	24.9	F15	24.0	
16	8305	8221	8149	12617	434	274	2918	1193	6449	12238	1635	1561	0	24.9	F16	25.0	
17	8311	8233	8149	12618	654	437	3253	1188	6718	15607	1341	3503	0	24.9	F17	26.0	
18	8308	8241	8152	12616	918	662	3626	1246	6884	16240	1175	2665	0	24.9	F18	27.0	
19	8306	8229	8165	12614	1214	934	4019	1425	6725	16376	231	1907	0	24.9			
20	8277	8218	8156	12614	1533	1238	4430	1615	6044	16374	616	1518	0	24.9			
21	8303	8188	8261	12613	1872	1572	4849	1942	4572	16361	758	1270	0	24.9			
22	8525	8056	8367	12612	2224	1925	5280	2635	3869	16345	883	1107	0	24.9			
23	8171	8194	7771	12604	2588	2292	5726	3207	4017	16339	1722	1029	0	24.9			
24	8308	8222	7630	12582	2947	2658	6205	3397	3795	16331	604	957	0	24.9			
25	8392	8208	8095	12570	3304	3004	6720	3352	3751	16325	811	901	0	24.9			
26	8244	8269	7924	12556	3665	3355	7233	3252	3524	16321	929	873	0	24.9			
27	8399	8237	7973	12540	4032	3750	7729	3077	3329	16317	963	853	0	24.9			
28	8251	8274	7880	12527	4399	4207	8207	2899	3095	16316	979	838	0	24.9			
29	8267	8231	8074	12514	4754	4611	8671	2719	2876	16313	985	830	0	24.9			
30	8316	8166	8069	12500	5107	4980	9128	2593	2713	16305	987	823	0	24.9			
31	8225	8200	8049	12497	5452	5334	9573	2540	2650	16303	981	820	0	24.9			
32	8344	8172	8173	12487	5789	5683	10013	2548	2667	16296	918	809	0	24.9			
33	8253	8236	8170	12476	6120	6021	10445	2595	2728	16289	951	801	0	24.9			
34	8295	8188	8282	12470	6446	6353	10858	2605	2792	16292	1229	813	0	24.9			
35	8280	8237	8382	12464	6757	6677	11257	2604	2838	16293	1247	820	0	24.9			
36	8250	8254	8381	12457	7065	6993	11625	2599	2879	16292	1210	821	0	24.9			
37	8336	8244	8459	12442	7364	7298	11967	2642	2927	16290	1171	820	0	24.9			
38	8311	8254	8443	12438	7651	7593	12304	2713	2971	16287	1089	817	0	24.9			
39	8309	8231	8417	12429	7935	7879	12650	2781	3030	16285	1101	815	0	24.9			
40	8288	8197	8421	12416	8197	8155	12993	2832	3083	16270	1130	812	0	24.9			
41	8261	8209	8326	12407	8459	8422	13323	2880	3119	16277	1042	808	0	24.9			
42	8334	8202	8345	12398	8708	8678	13643	2933	3176	16262	1031	805	0	24.9			
43	8316	8203	8294	12385	8948	8923	13941	3000	3226	16192	1107	802	0	24.9			
44	8328	8183	8243	12372	9176	9158	14228	3076	3303	16100	1124	799	0	24.9			
45	8312	8222	8205	12360	9398	9383	14503	3146	3371	15903	1065	792	0	24.9			
46	8272	8198	8143	12351	9607	9597	14751	3213	3425	15662	1011	781	0	24.9			
47	8309	8244	8103	12348	9808	9804	14989	3275	3487	15366	993	766	0	24.9			
48	8305	8228	8060	12331	10000	10000	15210	3327	3533	15153	953	749	0	24.9			
49	8307	8208	8001	12317	10184	10189	15421	3370	3575	15062	937	734	0	24.9			
50	8312	8208	7973	12310	10358	10365	15604	3389	3598	15096	883	725	0	24.9			
51	8298	8193	7923	12301	10522	10532	15768	3389	3615	15203	806	719	0	24.9			
52	8328	8198	7914	12289	10677	10690	15912	3370	3607	15275	636	710	0	24.9			
53	8305	8205	7902	12277	10826	10839	16026	3348	3581	15238	465	698	0	24.9			
54	8284	8202	7909	12265	10957	10977	16119	3332	3561	15080	408	686	0	24.9			
55	8304	8224	7943	12261	11085	11107	16196	3325	3552	14835	600	677	0	24.9			
56	8288	8227	7973	12249	11205	11229	16257	3316	3554	14492	702	668	0	24.9			
57	8320	8262	8015	12237	11318	11339	16303	3309	3547	14106	759	657	0	24.9			
58	8319	8279	8070	12221	11415	11441	16337	3293	3532	13721	786	644	0	24.9			
59	8310	8252	8123	12218	11507	11534	16360	3290	3509	13324	799	631	0	24.9			
60	8310	8245	8180	12204	11588	11623	16375	3274	3502	13022	770	611	0	24.9			
61	8292	8208	8213	12193	11663	11696	16383	3272	3484	12672	767	593	0	24.9			
62	8316	8190	8258	12177	11730	11763	16383	3257	3471	12364	746	573	0	24.9			
63	8322	8189	8287	12175	11792	11833	16383	3243	3461	12140	752	557	0	24.9			
64	8308	8173	8308	12163	11849	11889	16383	3237	3450	11877	752	541	0	24.9			
65	8304	8188	8326	12149	11899	11942	16383	3224	3443	11638	749	526	0	24.9			
66	8282	8193	8326	12137	11948	11994	16383	3220	3435	11431	743	514	0	24.9			
67	8296	8211	8334	12122	11991	12036	16383	3216	3429	11206	731	500	0	24.9			
68	8301	8237	8321	12119	12033	12079	16383	3213	3435	10913	715	486	0	24.9			
69	8308	8233	8306	12108	12071	12113	16383	3208	3433	10555	697	470	0	24.9			
70	8309	8241	8291	12094	12105	12145	16383	3204	3426	10174	677	452	0	24.9			
71	8297	8225	8258	12086	12135	12168	16383	3197	3424	9777	653	434	0	24.9			
72	8305	8221	8225	12074	12161	12200	16383	3189	3417	9377	630	413	0	24.9			
73	8306	8215	8188	12065	12187	12206	16383	3187	3414	8971	601	391	0	24.9			
74	8306	8209	8147	12052	12211	12231	16383	3181	3407	8528	563	368	0	24.9			
75	8312	8205	8122	12040	12234	12232	16383	3177	3399	8093	544	343	0	24.9			
76	8291	8211	8086	12025	12253	12242	16383	3171	3397	7628	519	318	0	24.9			
77	8298	8220	8059	12012	12268	12253	16383	3176	3401	7132	504	292	0	24.9			
78	8294	8233	8039	12011	12286	12261	16383	3180	3397	6610	461	264	0	24.9			
79	8305	8234	8025	11995	12300	12270	16383	3174	3398	6047	421	235	0	24.9			
80	8312	8241	8017	11983	12311	12283	16383	3169	3389	5526	388	206	0	24.9			
81	8304	8232	8010	11969	12319	12279	16383	3164	3385	5043	342	175	0	24.9			
82	8307	8244	8006	11953	12327	12285	16383	3160	3383	4620	302	145	0	24.9			
83	8313	8230	8014	11951	12345	12291	16383	3155	3376	4236	266	117	0	24.9			
84	8312	8231	8023	11940	12348	12297	16383	3149	3372	3886	242	91	0	24.9			
85	8306	8221	8057	11926	12352	12304	16383	3143	3367	3587	220	65	0	24.9			
86	8295	8218	8083	11913	12356	12305	16383	3139	3361	3327	197	43	0	24.9			
87	8294	8226	8115	11901	12361	12313	16383	3139	3358	3049	173	22	0	24.9			
88	8303	8225	8151	11897	12363	12320	16383	3139	3357	2693	147	4	0	24.9			
89	8309	8222	8183	11883	12368	12313	16383	3134	3355	2304	118	0	0	24.9			
90	8308	8220	8214	11869	12371	12315	16383	3136	3353	1864	88	0	0	24.9			
91	8304	8207	8245	11855	12373	12321	16383	3136	3348	1377	49	0	0	24.9			
92	8307	8209	8263	11841	12376	12321	16383	3135	3350	855	11	0	0	24.9			
93	8315	8206	8277	11839	12378	12323	16383	3135	3348	293	0	0	0	24.9			
94	8314	8205	8277	11831	12378	12321	16383	3133	3356	0	0	0	0	24.9			
95	8312	8213	8273	11812	12377	12323	16383	3133	3348	0	0	0	0	24.9			
96	8303	8212	8266	11798	12379	12325	16383	3134	3348	0	0	0	0	24.9			
97	8293	8222	8250	11786	12381	12326	16383	3140	3354	0	0	0	0	24.9			
98	8291	8233	8234	11776	12381	12328	16383	3142	3354	0	0	0	0	24.9			
99	8294	8232	8218	11771	12380	12325	16383	3140	3357	0	0	0	0	24.9			
100	8303	8238	8196	11757	12380	12327	16376	3142	3358	0	0	0	0	24.9			
101	8303	8223	8183	11743	12379	12328	16365	3138	3357	0	0	0	0	24.9			
