Time	Accel_1	Accel_2	Accel_3	Angle	Temp_1	Temp_2	Temp_3	PG_1	PG_2	PG_3	Lim_2	Lim_3	Lim_1	Internal_Temp	F_Names	F_Values	Prediction
1	8297	8177	8222	7163	0	0	113	4465	903	3390	5927	1932	0	27.06	Var_Accel1	6.352	3
2	8289	8264	8246	7163	0	0	223	3841	1117	0	3686	1227	0	27.06	Var_Accel2	10.329	5.000
3	8331	8168	8177	7164	0	0	362	3225	1492	0	2312	763	0	27.06	Var_Accel3	46.993	15.000
4	8286	8270	8153	7165	0	0	519	2779	2109	0	1464	456	0	27.06	Mean_of_PG1	339.42	0.000
5	8267	8204	8143	7163	0	2	687	2507	2796	0	937	250	0	27.06	Mean_of_PG2	6630.22	40.000
6	8284	8226	8174	7164	7	6	867	2377	3389	0	628	119	0	27.06	Var_of_PG1	12646.0	40.000
7	8279	8256	8173	7164	23	13	1051	2318	3851	0	464	58	0	27.06	Var_of_PG2	1121643.375	25.000
8	8291	8229	8162	7166	53	30	1237	2250	4383	0	372	103	0	27.06	Slope_of_Angle	607995.875	
9	8326	8210	8184	7166	98	60	1426	2165	5024	5623	434	330	0	27.06	Sum_Diff_Press	22974854.0	
10	8320	8193	8187	7165	161	107	1627	2054	5658	6800	545	610	0	27.06	Temp_Diff_Var	2208.0	
11	8284	8207	8161	7165	262	172	1847	1934	6173	8199	644	869	0	27.06	F11	-18092340.0	
12	8292	8189	8142	7167	425	264	2113	1781	6633	9833	1636	1157	0	27.06	F12	1854.562	
13	8287	8205	8104	7167	647	422	2443	1634	7045	16383	1361	3158	0	27.06	F13	8626.5	
14	8298	8181	8106	7166	910	644	2806	1492	7448	15535	1216	3217	0	27.06	F14	23.0	
15	8302	8219	8130	7167	1208	914	3205	1381	7850	16383	1126	2226	0	27.06	F15	24.0	
16	8291	8206	8124	7166	1532	1222	3625	1298	8216	16381	1070	1729	0	27.06	F16	25.0	
17	8292	8206	8120	7167	1875	1557	4059	1251	8553	16372	1030	1422	0	27.06	F17	26.0	
18	8307	8217	8128	7165	2233	1915	4502	1244	8820	16364	998	1224	0	27.06	F18	27.0	
19	8291	8202	8126	7166	2597	2286	4951	1347	8852	16356	725	1090	0	27.06			
20	8306	8250	8149	7167	2960	2652	5415	1622	8262	16356	287	997	0	27.06			
21	8326	8294	8124	7167	3321	3001	5918	1903	6437	16355	560	931	0	27.06			
22	8489	8097	8653	7166	3688	3356	6455	3263	3880	16355	750	890	0	27.06			
23	8245	8100	8795	7151	4061	3761	6978	3562	4493	16359	852	866	0	27.06			
24	7830	8478	7930	7135	4435	4229	7483	3805	4643	16362	1672	866	0	27.06			
25	8368	8177	7838	7112	4801	4642	7969	4012	4383	16363	923	850	0	27.06			
26	8320	8324	8023	7098	5160	5017	8446	3935	4099	16362	772	834	0	27.06			
27	8169	8222	8331	7083	5510	5379	8913	3714	3958	16361	882	820	0	27.06			
28	8303	8323	8375	7069	5855	5733	9373	3524	3659	16357	940	810	0	27.06			
29	8364	8143	8291	7051	6195	6080	9825	3258	3378	16334	968	804	0	27.06			
30	8264	8248	8286	7035	6522	6417	10270	3046	3123	16286	984	800	0	27.06			
31	8325	8162	8250	7031	6842	6746	10697	2936	3015	16174	985	795	0	27.06			
32	8272	8150	8032	7015	7154	7064	11108	2947	3026	16095	914	783	0	27.06			
33	8205	8205	7939	7003	7457	7375	11497	3050	3166	15988	1240	782	0	27.06			
34	8302	8175	8181	6994	7755	7675	11854	3093	3277	16109	1624	803	0	27.06			
35	8266	8253	8144	6989	8033	7966	12194	3102	3345	16315	1409	819	0	27.06			
36	8325	8213	8125	6978	8308	8250	12542	3135	3453	16316	1252	824	0	27.06			
37	8335	8266	8158	6970	8572	8521	12895	3201	3549	16324	1157	823	0	27.06			
38	8300	8217	8145	6962	8825	8779	13235	3297	3610	16330	1043	821	0	27.06			
39	8277	8290	8125	6949	9068	9029	13560	3362	3676	16338	987	815	0	27.06			
40	8311	8253	8136	6936	9302	9268	13870	3436	3724	16346	910	809	0	27.06			
41	8278	8228	8072	6922	9528	9496	14162	3494	3795	16348	1101	809	0	27.06			
42	8326	8200	8134	6907	9740	9714	14440	3537	3838	16350	1023	807	0	27.06			
43	8289	8188	8122	6893	9943	9923	14702	3606	3887	16348	974	801	0	27.06			
