Time	Accel_1	Accel_2	Accel_3	Angle	Temp_1	Temp_2	Temp_3	PG_1	PG_2	PG_3	Lim_2	Lim_3	Lim_1	Internal_Temp	F_Names	F_Values	Prediction
1	8287	8208	8098	4368	0	0	113	533	4136	3161	5211	1974	0	27.24	Var_Accel1	5.332	4
2	8291	8311	8110	4371	0	0	221	838	3458	0	3156	1253	0	27.24	Var_Accel2	7.132	5.000
3	8340	8209	8131	4372	0	0	359	1560	2906	0	1928	778	0	27.24	Var_Accel3	71.871	20.000
4	8304	8251	8165	4375	0	0	515	2481	2574	0	1206	457	0	27.24	Mean_of_PG1	6260.177	0.000
5	8281	8202	8209	4372	0	0	683	3094	2412	0	791	246	0	27.24	Mean_of_PG2	372.48	35.000
6	8272	8195	8199	4372	10	3	860	3321	2329	0	564	118	0	27.24	Var_of_PG1	14097.367	40.000
7	8273	8203	8164	4374	31	13	1043	3704	2272	0	450	85	0	27.24	Var_of_PG2	543664.5	25.000
8	8283	8210	8159	4374	66	33	1230	4408	2203	100	398	166	0	27.24	Slope_of_Angle	1200103.25	
9	8301	8244	8152	4375	117	68	1423	5127	2109	5947	512	400	0	27.24	Sum_Diff_Press	4018168.5	
10	8326	8245	8151	4374	190	121	1639	5651	2010	7225	668	674	0	27.24	Temp_Diff_Var	-2189.0	
11	8316	8240	8153	4375	311	192	1870	6014	1863	8648	843	950	0	27.24	F11	16933016.0	
12	8302	8208	8157	4376	497	297	2164	6376	1721	10490	1827	1287	0	27.24	F12	1310.112	
13	8283	8208	8169	4377	735	476	2511	6803	1549	16266	1596	3427	0	27.24	F13	8166.0	
14	8286	8183	8170	4376	1010	715	2896	7244	1410	16258	1499	2880	0	27.24	F14	23.0	
15	8288	8186	8165	4376	1316	997	3307	7614	1310	16380	1446	2064	0	27.24	F15	24.0	
16	8292	8187	8169	4376	1644	1312	3734	7939	1259	16362	1412	1626	0	27.24	F16	25.0	
17	8300	8208	8172	4375	1990	1655	4172	8210	1279	16347	1348	1342	0	27.24	F17	26.0	
18	8301	8221	8164	4376	2346	2017	4614	8303	1420	16337	1632	1168	0	27.24	F18	27.0	
19	8301	8216	8164	4377	2705	2387	5068	7874	1647	16341	2103	1079	0	27.24			
20	8289	8224	8154	4379	3059	2744	5543	6423	1909	16344	1784	1017	0	27.24			
21	8085	8297	8091	4391	3416	3088	6062	4124	2775	16345	1567	972	0	27.24			
22	8347	8161	8270	4403	3779	3453	6597	4369	3557	16344	1393	935	0	27.24			
23	8300	8209	8287	4415	4151	3872	7109	4351	4051	16339	1157	901	0	27.24			
24	8263	8183	8216	4428	4515	4343	7606	4335	4098	16335	1151	875	0	27.24			
25	8389	8167	8348	4444	4872	4740	8088	4222	3946	16324	383	835	0	27.24			
26	8298	8274	8248	4443	5227	5112	8558	3966	3782	16018	732	812	0	27.24			
27	8359	8465	7891	4461	5568	5469	9016	3555	3547	15878	954	788	0	27.24			
28	8594	8268	8459	4478	5905	5817	9469	3494	3172	15360	861	780	0	27.24			
29	8326	8321	8540	4492	6233	6159	9920	3010	3092	15085	894	761	0	27.24			
30	8178	8185	8474	4500	6552	6493	10354	2964	2920	14892	906	744	0	27.24			
31	8332	8199	8451	4513	6864	6816	10778	2919	2923	15363	860	733	0	27.24			
32	8312	8169	8271	4522	7169	7137	11190	3143	2924	15828	869	739	0	27.24			
33	8267	8184	8076	4530	7463	7435	11563	3207	3006	16222	1120	764	0	27.24			
34	8338	8258	8115	4536	7748	7735	11912	3294	3022	16275	942	781	0	27.24			
35	8233	8268	7936	4550	8020	8019	12248	3421	3054	16288	1061	794	0	27.24			
36	8314	8272	7988	4551	8285	8301	12604	3535	3140	16304	1301	811	0	27.24			
37	8337	8263	7988	4565	8539	8562	12948	3633	3228	16316	1447	826	0	27.24			
38	8259	8277	7905	4577	8786	8819	13275	3696	3295	16321	1443	836	0	27.24			
39	8281	8233	7919	4591	9023	9066	13598	3731	3342	16322	1279	834	0	27.24			
40	8295	8193	7934	4602	9255	9302	13904	3783	3345	16318	975	820	0	27.24			
41	8262	8203	7917	4607	9464	9531	14187	3805	3376	16246	941	806	0	27.24			
42	8278	8226	7927	4621	9670	9736	14463	3856	3419	15979	929	790	0	27.24			
43	8298	8207	7939	4632	9866	9943	14719	3931	3500	15493	1136	776	0	27.24			
44	8270	8212	7976	4646	10058	10143	14970	4027	3610	14718	1213	755	0	27.24			
45	8335	8187	8148	4660	10231	10328	15187	4145	3714	13943	1094	724	0	27.24			
46	8274	8231	8106	4673	10401	10512	15401	4233	3793	13223	1001	685	0	27.24			
47	8306	8210	8157	4687	10568	10675	15590	4267	3858	12557	927	645	0	27.24			
48	8299	8206	8162	4690	10716	10825	15753	4304	3879	12228	736	605	0	27.24			
49	8308	8171	8228	4702	10853	10976	15895	4319	3895	11977	661	575	0	27.24			
50	8286	8190	8263	4714	10992	11114	16018	4335	3914	11968	582	552	0	27.24			
51	8301	8146	8305	4726	11115	11244	16113	4355	3916	12111	442	536	0	27.24			
52	8276	8178	8291	4739	11229	11366	16192	4345	3906	12462	412	530	0	27.24			
53	8309	8164	8348	4746	11334	11466	16253	4319	3887	12928	556	540	0	27.24			
54	8290	8195	8342	4758	11435	11559	16302	4295	3874	13435	668	559	0	27.24			
55	8304	8194	8372	4767	11521	11651	16333	4257	3880	13963	757	583	0	27.24			
56	8304	8208	8349	4779	11607	11734	16358	4256	3893	14316	815	609	0	27.24			
