Time	Accel_1	Accel_2	Accel_3	Angle	Temp_1	Temp_2	Temp_3	PG_1	PG_2	PG_3	Lim_2	Lim_3	Lim_1	Internal_Temp	F_Names	F_Values	Prediction
1	8353	8195	8256	9804	0	0	117	3798	251	3675	4866	2039	0	25.32	Var_Accel1	3.234	4
2	8295	8230	8111	9804	0	0	230	3213	269	0	3233	1275	0	25.32	Var_Accel2	15.431	15.000
3	8302	8251	8144	9804	0	0	372	2740	325	0	2344	790	0	25.32	Var_Accel3	85.254	15.000
4	8297	8222	8206	9805	0	0	532	2455	544	0	1777	480	0	25.32	Mean_of_PG1	338.532	0.000
5	8283	8239	8140	9807	0	0	703	2229	1461	0	1109	267	0	25.32	Mean_of_PG2	5594.578	34.375
6	8304	8221	8154	9804	0	1	882	2089	2698	0	680	120	0	25.32	Var_of_PG1	12148.442	35.625
7	8259	8243	8160	9803	0	1	1067	2052	3112	0	397	26	0	25.32	Var_of_PG2	995018.375	25.000
8	8300	8271	8157	9804	0	2	1248	1978	3222	0	255	0	0	25.32	Slope_of_Angle	523011.875	
9	8321	8228	8148	9804	5	5	1425	1922	3669	0	179	0	0	25.32	Sum_Diff_Press	35727584.0	
10	8344	8190	8149	9806	18	11	1613	1839	4359	0	151	0	0	25.32	Temp_Diff_Var	2346.0	
11	8319	8183	8149	9804	43	25	1818	1736	4801	0	136	30	0	25.32	F11	-15116388.0	
12	8280	8208	8147	9806	82	52	2013	1632	5061	6115	279	301	0	25.32	F12	1324.959	
13	8290	8208	8136	9807	138	94	2207	1509	5296	7416	441	619	0	25.32	F13	7429.0	
14	8291	8206	8143	9808	226	154	2427	1406	5590	8902	579	894	0	25.32	F14	23.0	
15	8298	8196	8122	9807	369	239	2695	1307	6096	10656	1613	1226	0	25.32	F15	24.0	
16	8314	8209	8128	9808	572	380	3015	1242	6570	16326	1339	3275	0	25.32	F16	25.0	
17	8299	8236	8146	9807	824	590	3376	1198	6985	15756	1191	3035	0	25.32	F17	26.0	
18	8285	8253	8149	9807	1111	850	3765	1216	7256	16383	1099	2116	0	25.32	F18	27.0	
19	8291	8252	8149	9808	1424	1147	4174	1411	7140	16381	317	1644	0	25.32			
20	8232	8279	8171	9806	1760	1475	4596	1644	6463	16377	520	1355	0	25.32			
21	7941	8191	8194	9807	2112	1827	5026	1924	4900	16368	702	1165	0	25.32			
22	8835	8206	7565	9807	2475	2193	5468	3015	3993	16359	819	1042	0	25.32			
23	8082	8032	8573	9791	2837	2564	5934	3351	3947	16352	1744	982	0	25.32			
24	8306	8265	8167	9785	3198	2916	6442	3505	3839	16354	650	934	0	25.32			
25	8129	8321	8481	9766	3559	3263	6965	3472	3822	16350	818	886	0	25.32			
26	8052	8363	8400	9753	3930	3650	7475	3465	3625	16347	907	859	0	25.32			
27	8328	8226	8519	9741	4299	4103	7963	3278	3491	16344	960	844	0	25.32			
28	8243	8148	8445	9724	4662	4532	8438	3088	3211	16339	985	833	0	25.32			
29	8330	8192	8358	9708	5019	4909	8901	2868	2991	16336	990	825	0	25.32			
30	8374	8188	8463	9697	5370	5271	9357	2756	2789	16333	991	820	0	25.32			
31	8177	8232	8267	9683	5716	5625	9807	2654	2720	16330	990	815	0	25.32			
32	8293	8207	8303	9676	6052	5970	10245	2658	2711	16323	925	806	0	25.32			
33	8261	8199	8278	9668	6381	6307	10672	2699	2776	16317	957	799	0	25.32			
34	8299	8207	8236	9656	6702	6639	11085	2723	2860	16320	1291	813	0	25.32			
35	8342	8216	8189	9657	7014	6954	11470	2720	2911	16322	1341	825	0	25.32			
36	8302	8237	8058	9641	7322	7265	11825	2732	2978	16322	1381	832	0	25.32			
37	8335	8270	8001	9628	7614	7569	12165	2777	3039	16322	1339	834	0	25.32			
38	8290	8276	8015	9630	7899	7859	12514	2863	3091	16321	1171	830	0	25.32			
39	8289	8246	7941	9615	8173	8139	12863	2934	3150	16283	1123	822	0	25.32			
40	8310	8207	7917	9601	8437	8414	13202	3001	3209	16203	1060	812	0	25.32			
41	8304	8167	7897	9588	8699	8672	13528	3053	3252	16178	1014	805	0	25.32			
42	8322	8170	7905	9583	8939	8923	13836	3105	3307	16177	1017	799	0	25.32			
