Time	Accel_1	Accel_2	Accel_3	Angle	Temp_1	Temp_2	Temp_3	PG_1	PG_2	PG_3	Lim_2	Lim_3	Lim_1	Internal_Temp	F_Names	F_Values	Prediction
1	8345	8199	8237	9815	0	0	117	3581	227	3633	4869	2049	0	25.37	Var_Accel1	3.21	4
2	8292	8230	8128	9815	0	0	230	3014	231	0	3171	1278	0	25.37	Var_Accel2	10.236	10.000
3	8303	8260	8143	9814	0	1	372	2610	266	0	2213	788	0	25.37	Var_Accel3	43.58	15.000
4	8301	8220	8215	9812	0	3	533	2334	415	0	1835	480	0	25.37	Mean_of_PG1	337.25	0.000
5	8281	8248	8144	9814	0	4	706	2089	1072	0	1138	269	0	25.37	Mean_of_PG2	5295.389	34.375
6	8311	8237	8156	9815	0	4	885	2021	2287	0	699	121	0	25.37	Var_of_PG1	13051.935	40.625
7	8289	8224	8163	9813	0	4	1065	1940	2940	0	415	26	0	25.37	Var_of_PG2	932873.625	25.000
8	8304	8263	8155	9811	2	5	1246	1893	3139	0	253	0	0	25.37	Slope_of_Angle	494001.688	
9	8281	8247	8143	9813	9	8	1427	1836	3511	0	183	0	0	25.37	Sum_Diff_Press	31160034.0	
10	8296	8202	8142	9811	24	15	1616	1755	4018	0	160	0	0	25.37	Temp_Diff_Var	2418.0	
11	8351	8169	8133	9818	51	30	1818	1672	4552	741	165	61	0	25.37	F11	-14259606.0	
12	8310	8169	8154	9814	93	59	2014	1563	4788	6306	294	340	0	25.37	F12	1163.889	
13	8278	8218	8137	9816	152	104	2209	1461	4971	7634	472	652	0	25.37	F13	7075.0	
14	8293	8200	8136	9817	248	167	2428	1354	5213	9135	599	932	0	25.37	F14	23.0	
15	8290	8204	8128	9815	403	257	2704	1260	5651	10892	1623	1263	0	25.37	F15	24.0	
16	8306	8210	8139	9816	615	409	3030	1195	6136	16240	1340	3335	0	25.37	F16	25.0	
17	8303	8221	8145	9817	874	628	3397	1146	6587	15865	1192	2972	0	25.37	F17	26.0	
18	8287	8253	8147	9816	1166	893	3789	1140	6919	16383	1098	2084	0	25.37	F18	27.0	
19	8285	8253	8160	9818	1484	1196	4198	1232	7010	16380	928	1642	0	25.37			
20	8305	8257	8154	9818	1823	1527	4620	1440	6623	16375	263	1350	0	25.37			
21	8367	8288	8179	9816	2176	1881	5051	1669	5358	16366	548	1157	0	25.37			
22	8511	8261	8242	9809	2539	2249	5495	1949	3684	16356	717	1037	0	25.37			
23	8404	8004	7989	9809	2901	2618	5964	2953	3484	16350	829	962	0	25.37			
24	8694	8075	7983	9792	3261	2966	6476	3372	3738	16340	1020	907	0	25.37			
25	8173	8108	7892	9784	3624	3318	6999	3342	3652	16339	863	875	0	25.37			
26	8527	8296	7765	9762	3994	3711	7507	3199	3481	16346	994	864	0	25.37			
27	8261	8277	7845	9751	4363	4172	7996	3159	3302	16343	1008	848	0	25.37			
28	8373	8316	7841	9741	4724	4587	8468	3029	3183	16340	1008	838	0	25.37			
29	8409	8195	7958	9726	5081	4962	8931	2837	2940	16336	1007	829	0	25.37			
30	8225	8226	7813	9711	5430	5321	9386	2635	2699	16334	999	823	0	25.37			
31	8343	8233	7922	9700	5773	5673	9833	2524	2580	16331	992	819	0	25.37			
32	8248	8192	7977	9683	6108	6017	10271	2486	2523	16327	964	812	0	25.37			
33	8268	8199	8009	9683	6438	6352	10699	2484	2550	16320	893	802	0	25.37			
34	8311	8163	8129	9669	6753	6679	11115	2526	2613	16316	999	800	0	25.37			
35	8319	8152	8206	9666	7065	6997	11492	2534	2696	16317	1311	814	0	25.37			
36	8359	8216	8210	9658	7365	7304	11852	2550	2760	16318	1436	828	0	25.37			
37	8317	8264	8346	9643	7658	7606	12186	2591	2834	16318	1421	834	0	25.37			
38	8275	8288	8330	9638	7941	7894	12532	2657	2896	16316	1235	833	0	25.37			
39	8311	8278	8440	9628	8211	8172	12881	2735	2951	16252	1137	826	0	25.37			
40	8288	8238	8411	9614	8475	8443	13217	2802	2998	16161	1039	814	0	25.37			
41	8334	8198	8479	9613	8725	8701	13543	2869	3054	16107	1051	807	0	25.37			
42	8311	8173	8417	9600	8971	8956	13855	2916	3101	16087	995	798	0	25.37			
43	8321	8171	8414	9586	9201	9189	14150	2962	3153	16131	1008	794	0	25.37			
44	8304	8220	8355	9572	9429	9417	14431	3023	3206	16237	974	791	0	25.37			
45	8281	8234	8333	9559	9637	9637	14683	3090	3266	16302	998	792	0	25.37			
46	8274	8240	8272	9559	9844	9842	14931	3164	3330	16303	979	793	0	25.37			
47	8306	8228	8220	9545	10038	10043	15166	3234	3397	16289	987	790	0	25.37			
48	8306	8221	8172	9533	10223	10237	15375	3300	3457	16161	983	787	0	25.37			
49	8325	8225	8122	9515	10399	10408	15568	3348	3511	16013	973	781	0	25.37			
50	8289	8228	8051	9517	10566	10578	15740	3381	3539	15769	924	772	0	25.37			
51	8297	8212	8007	9504	10723	10736	15886	3397	3560	15429	850	754	0	25.37			
52	8299	8199	7966	9492	10869	10892	16009	3387	3573	15050	781	733	0	25.37			
53	8311	8170	7966	9493	11011	11029	16110	3375	3563	14728	580	707	0	25.37			
54	8323	8174	7930	9479	11133	11156	16190	3357	3540	14301	431	676	0	25.37			
55	8315	8187	7928	9463	11258	11277	16253	3318	3519	13774	449	645	0	25.37			
56	8282	8234	7897	9457	11366	11389	16300	3293	3485	13314	605	625	0	25.37			
57	8284	8255	7920	9449	11467	11490	16335	3284	3467	13073	671	608	0	25.37			
58	8278	8240	7961	9435	11556	11583	16359	3274	3459	12844	685	591	0	25.37			
59	8301	8218	8015	9421	11638	11662	16376	3276	3458	12463	697	575	0	25.37			
60	8314	8195	8087	9409	11713	11740	16383	3266	3446	12027	717	555	0	25.37			
61	8312	8201	8120	9410	11778	11811	16383	3265	3433	11745	732	538	0	25.37			
62	8315	8215	8169	9395	11842	11876	16383	3254	3420	11524	732	521	0	25.37			
63	8294	8235	8210	9382	11899	11937	16383	3244	3409	11209	727	504	0	25.37			
64	8290	8254	8240	9368	11949	11992	16383	3233	3401	10928	713	488	0	25.37			
65	8304	8240	8281	9368	11999	12041	16383	3226	3391	10711	702	475	0	25.37			
66	8311	8222	8309	9353	12046	12092	16383	3210	3388	10464	683	461	0	25.37			
67	8314	8222	8318	9340	12090	12128	16383	3202	3370	10182	670	447	0	25.37			
68	8299	8230	8316	9329	12120	12159	16383	3191	3364	9869	648	432	0	25.37			
69	8284	8225	8320	9327	12155	12188	16383	3187	3355	9514	627	414	0	25.37			
70	8285	8220	8322	9313	12185	12228	16383	3180	3360	9055	601	393	0	25.37			
71	8293	8205	8309	9299	12214	12237	16383	3187	3360	8552	568	369	0	25.37			
72	8312	8196	8294	9292	12240	12254	16383	3187	3368	8116	543	346	0	25.37			
73	8318	8189	8268	9287	12264	12267	16383	3192	3367	7678	521	323	0	25.37			
74	8322	8208	8242	9274	12283	12280	16383	3189	3368	7177	497	297	0	25.37			
75	8304	8238	8199	9259	12302	12288	16383	3180	3360	6621	465	269	0	25.37			
76	8298	8249	8156	9254	12319	12296	16383	3171	3354	6087	431	239	0	25.37			
77	8301	8236	8116	9245	12338	12308	16383	3160	3339	5502	388	208	0	25.37			
78	8306	8215	8080	9232	12350	12308	16383	3153	3331	4936	342	174	0	25.37			
79	8309	8201	8052	9219	12358	12316	16383	3152	3323	4434	299	141	0	25.37			
80	8304	8196	8032	9208	12371	12324	16383	3145	3319	3962	258	109	0	25.37			
81	8290	8206	8009	9206	12377	12332	16383	3147	3318	3498	234	77	0	25.37			
82	8288	8225	7992	9189	12387	12340	16383	3141	3314	2988	191	43	0	25.37			
83	8295	8228	7992	9177	12390	12348	16383	3137	3308	2545	155	13	0	25.37			
84	8311	8223	8010	9163	12398	12345	16383	3132	3305	2073	113	0	0	25.37			
85	8317	8221	8034	9163	12402	12348	16383	3129	3303	1566	76	0	0	25.37			
86	8310	8231	8045	9150	12408	12350	16383	3125	3298	944	25	0	0	25.37			
87	8295	8243	8062	9135	12410	12352	16383	3122	3293	310	1	0	0	25.37			
88	8295	8238	8082	9124	12411	12353	16383	3115	3284	0	0	0	0	25.37			
89	8295	8229	8112	9123	12416	12354	16383	3113	3288	0	0	0	0	25.37			
90	8299	8210	8149	9108	12423	12361	16383	3115	3288	0	0	0	0	25.37			
91	8303	8202	8180	9095	12418	12359	16383	3113	3284	0	0	0	0	25.37			
92	8298	8210	8207	9081	12417	12361	16383	3113	3285	0	0	0	0	25.37			
