Time	Accel_1	Accel_2	Accel_3	Angle	Temp_1	Temp_2	Temp_3	PG_1	PG_2	PG_3	Lim_2	Lim_3	Lim_1	Internal_Temp	F_Names	F_Values	Prediction
1	8291	8204	8093	9904	0	0	118	3587	112	3692	4936	2073	0	25.97	Var_Accel1	1.418	4
2	8269	8218	8135	9903	0	0	228	3228	85	0	3051	1294	0	25.97	Var_Accel2	3.051	5.000
3	8338	8240	8231	9902	0	1	370	2836	65	0	1877	789	0	25.97	Var_Accel3	101.263	26.250
4	8273	8240	8092	9904	0	3	529	2457	58	0	1168	460	0	25.97	Mean_of_PG1	336.292	5.208
5	8283	8250	8171	9905	0	3	701	2251	57	0	729	241	0	25.97	Mean_of_PG2	5301.284	9.375
6	8326	8239	8196	9905	0	3	881	2089	65	0	447	97	0	25.97	Var_of_PG1	13443.737	54.167
7	8279	8262	8131	9902	1	5	1062	2014	190	0	1037	26	0	25.97	Var_of_PG2	804763.625	25.000
8	8305	8214	8152	9902	7	7	1243	1936	125	0	352	2	0	25.97	Slope_of_Angle	436943.906	
9	8260	8230	8156	9902	22	14	1431	1874	139	0	289	0	0	25.97	Sum_Diff_Press	28576246.0	
10	8282	8216	8225	9901	49	29	1630	1791	186	0	237	66	0	25.97	Temp_Diff_Var	2579.0	
11	8285	8228	8139	9903	90	56	1827	1701	381	6242	677	336	0	25.97	F11	-14279317.0	
12	8311	8195	8199	9903	149	100	2023	1611	640	7483	691	650	0	25.97	F12	1051.215	
13	8297	8187	8150	9905	244	162	2246	1508	1489	8910	846	928	0	25.97	F13	6942.0	
14	8294	8152	8194	9904	396	250	2523	1416	3479	10625	1772	1245	0	25.97	F14	23.0	
15	8287	8190	8161	9905	607	397	2848	1336	4940	16327	1428	3296	0	25.97	F15	24.0	
16	8306	8219	8174	9901	865	611	3217	1275	4748	15810	377	3027	0	25.97	F16	25.0	
17	8290	8220	8153	9902	1156	874	3613	1201	4354	16383	690	2103	0	25.97	F17	26.0	
18	8320	8156	8195	9902	1474	1175	4030	1147	4391	16381	720	1639	0	25.97	F18	27.0	
19	8311	8154	8142	9902	1812	1504	4455	1107	4656	16374	1689	1382	0	25.97			
20	8308	8201	8165	9904	2165	1857	4893	1065	4850	16366	1378	1216	0	25.97			
21	8293	8195	8165	9902	2528	2226	5338	1017	5051	16360	1209	1101	0	25.97			
22	8291	8242	8152	9901	2891	2595	5808	978	5373	16355	1109	1020	0	25.97			
23	8283	8219	8148	9901	3251	2945	6321	972	5754	16351	1029	964	0	25.97			
24	8227	8287	8177	9901	3614	3294	6850	1179	5359	16349	186	910	0	25.97			
25	8319	8349	8144	9887	3984	3686	7365	1687	3597	16340	498	865	0	25.97			
26	8541	8108	7896	9888	4354	4143	7860	1770	2817	16334	680	843	0	25.97			
27	8491	8059	7872	9873	4717	4566	8341	3086	3326	16331	1408	836	0	25.97			
28	8472	8052	7937	9859	5073	4941	8809	2807	3302	16332	1446	849	0	25.97			
29	8504	8232	7934	9847	5425	5301	9270	3301	3418	16329	380	824	0	25.97			
30	8356	8260	7841	9833	5765	5653	9717	3229	3489	16323	645	801	0	25.97			
31	8506	8171	8055	9819	6102	6001	10163	3027	3130	16230	857	803	0	25.97			
32	8028	8295	8105	9820	6429	6335	10596	3027	3204	16321	1167	801	0	25.97			
33	8068	8377	8307	9816	6747	6666	11014	2689	2734	16320	784	806	0	25.97			
34	7989	8412	8159	9802	7056	6980	11406	2659	2667	16319	901	804	0	25.97			
35	8176	8214	8316	9792	7358	7290	11768	2436	2616	16316	898	800	0	25.97			
36	8229	8223	7991	9779	7650	7589	12112	2500	2498	16317	904	797	0	25.97			
37	8257	8272	8002	9764	7934	7880	12456	2517	2659	16307	928	791	0	25.97			
38	8305	8290	8050	9754	8206	8161	12810	2555	2700	16309	1160	801	0	25.97			
39	8293	8279	8195	9749	8469	8430	13153	2709	2876	16299	1675	826	0	25.97			
40	8266	8227	8218	9734	8721	8690	13482	2729	2948	16316	1384	833	0	25.97			
41	8334	8218	8359	9730	8962	8940	13797	2820	3057	16316	1206	830	0	25.97			
42	8247	8209	8387	9721	9196	9182	14102	2857	3078	16298	1010	820	0	25.97			
43	8293	8243	8460	9707	9419	9405	14385	2885	3073	16233	742	801	0	25.97			
44	8269	8260	8521	9699	9632	9624	14650	2950	3126	16086	836	789	0	25.97			
45	8303	8239	8527	9695	9838	9834	14905	2975	3145	16004	768	777	0	25.97			
46	8328	8231	8549	9680	10030	10034	15129	3024	3214	15851	935	771	0	25.97			
47	8305	8221	8498	9665	10219	10223	15344	3085	3275	15733	1104	770	0	25.97			
48	8326	8219	8484	9654	10392	10402	15546	3142	3340	15593	1125	768	0	25.97			
49	8270	8250	8366	9647	10559	10572	15719	3221	3402	15456	1130	765	0	25.97			
50	8299	8196	8376	9637	10713	10730	15869	3279	3460	15273	1101	758	0	25.97			
51	8282	8188	8292	9624	10861	10881	15997	3339	3500	15072	979	742	0	25.97			
52	8295	8160	8240	9611	10999	11020	16100	3388	3554	14883	1002	730	0	25.97			
53	8282	8201	8135	9610	11128	11151	16188	3425	3591	14695	908	715	0	25.97			
54	8289	8194	8092	9598	11248	11273	16251	3447	3617	14379	822	696	0	25.97			
55	8302	8209	8001	9584	11359	11383	16299	3462	3637	14038	731	673	0	25.97			
56	8309	8209	7964	9582	11460	11483	16333	3455	3638	13734	581	649	0	25.97			
57	8298	8188	7887	9571	11551	11579	16358	3432	3631	13351	493	623	0	25.97			
58	8298	8190	7894	9557	11636	11659	16375	3403	3616	13057	376	595	0	25.97			
59	8277	8199	7889	9550	11707	11736	16383	3339	3612	12750	487	575	0	25.97			
60	8287	8236	7855	9543	11776	11808	16383	3308	3574	12375	601	560	0	25.97			
61	8284	8225	7863	9531	11837	11873	16383	3275	3564	11975	652	543	0	25.97			
62	8320	8203	7948	9516	11890	11930	16383	3228	3595	11681	688	528	0	25.97			
63	8281	8234	7956	9515	11941	11987	16383	3195	3597	11429	700	515	0	25.97			
64	8299	8236	8022	9503	11990	12034	16383	3163	3616	11076	692	499	0	25.97			
65	8295	8253	8057	9487	12034	12085	16383	3136	3619	10636	687	481	0	25.97			
66	8297	8237	8115	9476	12076	12120	16383	3095	3639	10134	669	460	0	25.97			
67	8321	8192	8206	9475	12114	12153	16383	3069	3641	9762	639	440	0	25.97			
68	8296	8206	8238	9462	12145	12182	16383	3031	3655	9440	616	418	0	25.97			
69	8309	8205	8302	9446	12172	12209	16383	2994	3646	9060	589	396	0	25.97			
70	8295	8231	8333	9446	12203	12231	16383	2972	3644	8665	561	375	0	25.97			
71	8302	8218	8380	9432	12229	12246	16383	2934	3644	8228	528	352	0	25.97			
72	8304	8240	8380	9421	12250	12261	16383	2909	3636	7850	513	329	0	25.97			
73	8306	8238	8396	9419	12273	12269	16383	2890	3633	7536	494	309	0	25.97			
74	8308	8238	8384	9406	12291	12281	16383	2873	3629	7217	474	288	0	25.97			
75	8311	8236	8363	9393	12307	12286	16383	2868	3627	6891	449	267	0	25.97			
76	8306	8221	8335	9391	12321	12296	16383	2861	3631	6592	426	251	0	25.97			
77	8313	8228	8297	9378	12344	12302	16383	2860	3633	6233	397	229	0	25.97			
78	8305	8233	8239	9365	12348	12311	16383	2851	3631	5898	372	211	0	25.97			
79	8311	8244	8184	9361	12358	12315	16383	2842	3625	5500	344	188	0	25.97			
80	8315	8237	8142	9351	12366	12319	16383	2829	3609	5069	312	163	0	25.97			
81	8310	8233	8112	9338	12374	12325	16383	2815	3600	4622	275	137	0	25.97			
82	8310	8222	8069	9326	12380	12330	16383	2802	3585	4142	238	110	0	25.97			
83	8303	8221	8036	9325	12385	12338	16383	2788	3568	3655	212	82	0	25.97			
84	8303	8218	7996	9310	12390	12340	16383	2780	3557	3140	179	51	0	25.97			
85	8295	8220	7967	9296	12392	12348	16383	2770	3545	2644	142	19	0	25.97			
86	8294	8214	7956	9293	12397	12350	16383	2768	3538	2184	103	0	0	25.97			
87	8304	8204	7952	9283	12400	12348	16383	2765	3534	1674	63	0	0	25.97			
88	8304	8203	7962	9273	12405	12348	16383	2760	3528	1178	20	0	0	25.97			
89	8314	8202	7989	9261	12404	12349	16383	2762	3525	729	0	0	0	25.97			
90	8304	8209	8006	9253	12406	12351	16383	2756	3520	280	0	0	0	25.97			
91	8309	8211	8041	9241	12405	12351	16383	2751	3512	0	0	0	0	25.97			
92	8311	8210	8079	9226	12408	12351	16383	2752	3505	0	0	0	0	25.97			
93	8305	8212	8122	9226	12409	12361	16383	2740	3501	0	0	0	0	25.97			
94	8313	8205	8170	9213	12408	12350	16383	2741	3494	0	0	0	0	25.97			
95	8314	8204	8200	9200	12409	12354	16383	2743	3492	0	0	0	0	25.97			
96	8315	8205	8241	9199	12414	12353	16383	2744	3502	0	0	0	0	25.97			
97	8312	8213	8265	9185	12407	12353	16383	2749	3507	0	0	0	0	25.97			
98	8305	8210	8287	9170	12410	12355	16383	2748	3516	0	0	0	0	25.97			
99	8302	8212	8303	9157	12410	12355	16379	2754	3519	0	0	0	0	25.97			
100	8297	8211	8302	9158	12410	12354	16364	2755	3521	0	0	0	0	25.97			
101	8298	8208	8303	9144	12408	12357	16357	2759	3525	0	0	0	0	25.97			
102	8299	8206	8296	9130	12408	12353	16352	2770	3527	0	0	0	0	25.97			
103	8297	8210	8278	9122	12407	12353	16348	2773	3534	0	0	0	0	25.97			
104	8302	8213	8261	9117	12406	12353	16345	2779	3543	0	0	0	0	25.97			
105	8300	8221	8235	9101	12407	12362	16339	2789	3544	0	0	0	0	25.97			
106	8299	8232	8206	9089	12406	12353	16338	2792	3554	0	0	0	0	25.97			
107	8302	8234	8178	9088	12409	12355	16338	2799	3557	0	0	0	0	25.97			
108	8298	8227	8145	9074	12407	12350	16335	2799	3566	0	0	0	0	25.97			
109	8308	8214	8124	9061	12409	12355	16336	2803	3566	0	0	0	0	25.97			
110	8310	8209	8093	9054	12406	12353	16334	2801	3568	0	0	0	0	25.97			
111	8310	8207	8069	9047	12408	12353	16335	2800	3571	0	0	0	0	25.97			
112	8308	8215	8046	9034	12411	12354	16333	2800	3574	0	0	0	0	25.97			
113	8299	8225	8025	9020	12405	12352	16330	2799	3573	0	0	0	0	25.97			
114	8298	8228	8012	9020	12404	12351	16327	2797	3573	0	0	0	0	25.97			
115	8293	8231	8008	9009	12406	12353	16331	2799	3580	0	0	0	0	25.97			
116	8296	8227	8018	8993	12404	12353	16326	2801	3580	0	0	0	0	25.97			
117	8298	8223	8030	8979	12405	12354	16330	2803	3580	0	0	0	0	25.97			
118	8297	8220	8046	8979	12407	12354	16330	2798	3581	0	0	0	0	25.97			
119	8300	8218	8075	8964	12407	12355	16330	2796	3577	0	0	0	0	25.97			
120	8298	8224	8096	8952	12409	12363	16330	2797	3577	0	0	0	0	25.97			
121	8304	8226	8125	8936	12405	12357	16329	2792	3578	0	0	0	0	25.97			
122	8302	8232	8149	8938	12406	12354	16330	2796	3577	0	0	0	0	25.97			
123	8305	8226	8187	8924	12406	12355	16329	2790	3574	0	0	0	0	25.97			
124	8302	8229	8211	8909	12404	12354	16328	2791	3572	0	0	0	0	25.97			
125	8309	8219	8237	8908	12405	12355	16330	2788	3572	0	0	0	0	25.97			
126	8310	8217	8256	8896	12405	12355	16329	2792	3566	0	0	0	0	25.97			
127	8309	8215	8269	8881	12411	12355	16330	2792	3572	0	0	0	0	25.97			
128	8308	8217	8269	8868	12406	12356	16330	2795	3574	0	0	0	0	25.97			
129	8310	8219	8267	8868	12406	12355	16329	2798	3577	0	0	0	0	25.97			
130	8307	8218	8257	8854	12406	12356	16330	2796	3576	0	0	0	0	25.97			
131	8303	8218	8243	8840	12406	12355	16328	2794	3573	0	0	0	0	25.97			
132	8302	8216	8227	8836	12407	12354	16328	2794	3571	0	0	0	0	25.97			
133	8302	8218	8207	8828	12407	12356	16330	2794	3572	0	0	0	0	25.97			
134	8304	8216	8181	8813	12405	12357	16329	2794	3574	0	0	0	0	25.97			
135	8302	8218	8156	8801	12406	12356	16330	2794	3573	0	0	0	0	25.97			
136	8301	8214	8141	8800	12406	12354	16327	2796	3573	0	0	0	0	25.97			
137	8298	8217	8117	8787	12404	12357	16330	2795	3576	0	0	0	0	25.97			
138	8300	8213	8103	8774	12406	12356	16327	2797	3577	0	0	0	0	25.97			
139	8302	8214	8087	8768	12407	12357	16331	2791	3574	0	0	0	0	25.97			
140	8302	8212	8073	8762	12411	12358	16332	2794	3569	0	0	0	0	25.97			
141	8304	8214	8072	8745	12416	12357	16331	2789	3568	0	0	0	0	25.97			
142	8307	8216	8063	8730	12408	12357	16331	2787	3563	0	0	0	0	25.97			
143	8305	8217	8066	8732	12413	12357	16331	2791	3562	0	0	0	0	25.97			
144	8304	8220	8074	8717	12409	12357	16331	2791	3566	0	0	0	0	25.97			
145	8307	8220	8083	8703	12406	12358	16329	2793	3564	0	0	0	0	25.97			
146	8303	8223	8092	8695	12416	12357	16330	2792	3564	0	0	0	0	25.97			
147	8310	8221	8105	8690	12408	12358	16331	2793	3564	0	0	0	0	25.97			
148	8305	8227	8113	8678	12408	12358	16330	2791	3561	0	0	0	0	25.97			
149	8304	8225	8135	8664	12416	12358	16331	2792	3560	0	0	0	0	25.97			
150	8299	8229	8148	8662	12408	12357	16331	2789	3562	0	0	0	0	25.97			
151	8301	8228	8163	8649	12408	12366	16330	2791	3557	0	0	0	0	25.97			
152	8302	8228	8182	8635	12408	12367	16332	2789	3560	0	0	0	0	25.97			
153	8301	8231	8194	8631	12407	12359	16328	2788	3559	0	0	0	0	25.97			
154	8300	8226	8208	8619	12410	12358	16332	2789	3558	0	0	0	0	25.97			
155	8297	8227	8220	8607	12414	12368	16330	2785	3558	0	0	0	0	25.97			
156	8300	8221	8224	8593	12409	12357	16327	2786	3555	0	0	0	0	25.97			
157	8304	8217	8225	8592	12408	12359	16330	2789	3560	0	0	0	0	25.97			
158	8307	8212	8223	8580	12410	12360	16332	2793	3556	0	0	0	0	25.97			
159	8303	8209	8218	8567	12409	12359	16331	2796	3561	0	0	0	0	25.97			
160	8303	8209	8212	8566	12409	12360	16330	2799	3563	0	0	0	0	25.97			
161	8306	8212	8197	8551	12409	12360	16330	2796	3563	0	0	0	0	25.97			
162	8306	8212	8185	8538	12409	12360	16330	2803	3565	0	0	0	0	25.97			
163	8306	8215	8166	8526	12411	12360	16332	2803	3564	0	0	0	0	25.97			
164	8304	8214	8152	8524	12411	12362	16332	2801	3562	0	0	0	0	25.97			
165	8304	8213	8136	8513	12410	12361	16333	2803	3566	0	0	0	0	25.97			
166	8305	8212	8119	8502	12411	12362	16331	2803	3564	0	0	0	0	25.97			
167	8303	8213	8107	8497	12412	12361	16333	2799	3561	0	0	0	0	25.97			
168	8304	8216	8098	8484	12411	12359	16330	2800	3560	0	0	0	0	25.97			
169	8302	8218	8088	8471	12411	12361	16332	2800	3563	0	0	0	0	25.97			
170	8302	8221	8085	8464	12410	12360	16331	2798	3561	0	0	0	0	25.97			
171	8303	8222	8089	8456	12411	12361	16331	2801	3560	0	0	0	0	25.97			
172	8304	8220	8094	8442	12411	12359	16331	2799	3563	0	0	0	0	25.97			
173	8304	8220	8094	8430	12412	12361	16332	2801	3561	0	0	0	0	25.97			
174	8308	8214	8112	8429	12413	12369	16332	2804	3566	0	0	0	0	25.97			
175	8305	8214	8116	8415	12410	12359	16332	2802	3565	0	0	0	0	25.97			
176	8306	8213	8128	8401	12410	12360	16330	2793	3564	0	0	0	0	25.97			
177	8305	8214	8139	8393	12410	12360	16329	2800	3557	0	0	0	0	25.97			
178	8303	8217	8150	8389	12409	12360	16330	2789	3561	0	0	0	0	25.97			
179	8301	8221	8160	8374	12410	12360	16331	2793	3553	0	0	0	0	25.97			
180	8302	8221	8173	8360	12409	12359	16328	2793	3557	0	0	0	0	25.97			
181	8304	8220	8184	8360	12411	12359	16332	2795	3557	0	0	0	0	25.97			
182	8301	8221	8192	8346	12410	12361	16331	2794	3560	0	0	0	0	25.97			
183	8301	8220	8199	8332	12412	12361	16333	2798	3560	0	0	0	0	25.97			
184	8304	8219	8201	8319	12423	12362	16333	2799	3561	0	0	0	0	25.97			
185	8301	8220	8201	8317	12412	12361	16333	2797	3560	0	0	0	0	25.97			
186	8303	8221	8201	8304	12413	12362	16333	2796	3559	0	0	0	0	25.97			
187	8306	8221	8197	8289	12411	12363	16332	2800	3562	0	0	0	0	25.97			
