Time	Accel_1	Accel_2	Accel_3	Angle	Temp_1	Temp_2	Temp_3	PG_1	PG_2	PG_3	Lim_2	Lim_3	Lim_1	Internal_Temp	F_Names	F_Values	Prediction
1	8318	8214	8142	7339	0	0	117	566	2841	3543	5061	1890	0	24.42	Var_Accel1	1.255	4
2	8307	8221	8104	7339	0	0	228	1112	2473	0	3041	1181	0	24.42	Var_Accel2	2.665	5.000
3	8294	8230	8117	7339	0	2	368	1840	2275	0	1843	716	0	24.42	Var_Accel3	4.049	31.250
4	8312	8241	8102	7339	0	3	526	2433	2188	0	1138	408	0	24.42	Mean_of_PG1	5510.434	10.208
5	8300	8237	8102	7342	0	4	698	2796	2134	0	715	203	0	24.42	Mean_of_PG2	374.186	8.889
6	8320	8230	8134	7340	0	5	876	3153	2079	0	459	68	0	24.42	Var_of_PG1	14458.452	44.653
7	8298	8231	8124	7340	0	5	1055	3670	2001	0	307	4	0	24.42	Var_of_PG2	474058.313	25.000
8	8293	8228	8129	7339	0	6	1234	4233	1908	0	222	0	0	24.42	Slope_of_Angle	1028766.25	
9	8302	8207	8132	7340	2	6	1413	4654	1785	0	180	0	0	24.42	Sum_Diff_Press	13366824.0	
10	8314	8185	8189	7338	5	7	1596	4945	1649	0	168	0	0	24.42	Temp_Diff_Var	-2502.0	
11	8290	8183	8212	7338	14	11	1779	5225	1517	0	197	0	0	24.42	F11	14771850.0	
12	8313	8197	8195	7340	33	20	1973	5553	1395	0	248	5	0	24.42	F12	914.211	
13	8297	8221	8182	7342	67	40	2171	5917	1300	6146	435	267	0	24.42	F13	7043.5	
14	8298	8224	8182	7341	117	74	2359	6286	1236	7403	646	584	0	24.42	F14	23.0	
15	8328	8244	8186	7339	187	127	2572	6702	1202	8885	800	866	0	24.42	F15	24.0	
16	8302	8234	8170	7343	306	198	2818	7041	1174	10572	980	1166	0	24.42	F16	25.0	
17	8300	8218	8152	7341	486	307	3134	7310	1163	16345	2001	3180	0	24.42	F17	26.0	
18	8306	8219	8155	7348	718	487	3481	7465	1113	15685	1741	3030	0	24.42	F18	27.0	
19	8303	8221	8150	7348	988	724	3857	7516	1057	16383	1584	2097	0	24.42			
20	8296	8234	8142	7349	1287	1002	4251	7411	1043	16381	1458	1634	0	24.42			
21	8288	8226	8140	7349	1608	1314	4658	7074	1202	16369	1581	1348	0	24.42			
22	8310	8232	8152	7350	1946	1651	5075	6057	1374	16362	2097	1193	0	24.42			
23	8108	8229	8333	7356	2296	2007	5504	4517	1529	16355	1739	1091	0	24.42			
24	8406	8225	8282	7361	2650	2373	5951	3230	2601	16351	1485	1016	0	24.42			
25	8381	8318	8251	7360	2999	2725	6436	3551	3066	16349	1338	962	0	24.42			
26	8425	8165	7904	7376	3351	3063	6950	3488	3256	16345	1254	923	0	24.42			
27	8405	8078	7765	7389	3707	3419	7443	3579	3104	16344	356	878	0	24.42			
28	8208	8381	8185	7402	4066	3833	7922	3315	3128	16339	626	840	0	24.42			
29	8242	8150	7992	7415	4424	4285	8387	3143	2960	16339	801	827	0	24.42			
30	8240	8210	8193	7429	4770	4673	8841	2889	2767	16336	881	819	0	24.42			
31	8380	8235	8138	7444	5114	5035	9283	2646	2542	16335	923	816	0	24.42			
32	8272	8211	8252	7458	5450	5384	9718	2477	2362	16334	944	816	0	24.42			
33	8290	8234	8243	7459	5782	5728	10145	2381	2305	16332	941	811	0	24.42			
34	8340	8289	8164	7472	6102	6062	10567	2394	2332	16326	891	804	0	24.42			
35	8351	8256	8282	7485	6417	6387	10971	2513	2421	16322	994	801	0	24.42			
36	8306	8218	8268	7484	6722	6703	11354	2610	2474	16320	1123	807	0	24.42			
37	8345	8243	8221	7497	7020	7012	11707	2697	2528	16319	1208	814	0	24.42			
38	8314	8211	8185	7500	7305	7309	12034	2798	2576	16319	1207	819	0	24.42			
39	8281	8209	8142	7511	7586	7597	12373	2879	2638	16318	1303	824	0	24.42			
40	8297	8200	8208	7518	7855	7878	12706	2947	2705	16317	1356	827	0	24.42			
41	8305	8200	8154	7527	8115	8150	13041	2998	2786	16317	1229	827	0	24.42			
42	8320	8206	8205	7538	8365	8410	13361	3092	2892	16242	1137	821	0	24.42			
43	8270	8223	8166	7551	8607	8661	13669	3193	3003	16192	1081	813	0	24.42			
44	8278	8244	8140	7557	8837	8902	13961	3282	3095	16126	1043	806	0	24.42			
45	8326	8230	8215	7563	9059	9129	14238	3353	3164	16064	1021	798	0	24.42			
46	8293	8219	8159	7579	9275	9350	14500	3426	3228	16064	1005	793	0	24.42			
47	8318	8209	8178	7592	9482	9563	14745	3482	3300	16050	999	787	0	24.42			
48	8318	8205	8154	7599	9671	9765	14979	3545	3360	16108	997	784	0	24.42			
49	8298	8219	8110	7608	9855	9958	15196	3603	3425	16108	992	781	0	24.42			
50	8337	8210	8155	7619	10035	10141	15401	3664	3486	16098	994	780	0	24.42			
51	8302	8233	8077	7635	10200	10316	15576	3711	3538	16067	983	778	0	24.42			
52	8321	8225	8110	7639	10360	10478	15739	3746	3581	16012	977	775	0	24.42			
53	8307	8241	8055	7645	10511	10634	15878	3781	3589	15956	831	767	0	24.42			
54	8306	8245	8077	7660	10655	10782	15996	3794	3584	15747	671	752	0	24.42			
55	8319	8240	8080	7670	10788	10919	16093	3777	3574	15465	553	732	0	24.42			
56	8308	8241	8093	7675	10912	11048	16183	3773	3558	15162	520	712	0	24.42			
57	8308	8238	8110	7689	11029	11166	16232	3761	3557	14872	597	694	0	24.42			
58	8302	8225	8114	7702	11141	11278	16283	3768	3549	14644	716	682	0	24.42			
59	8295	8223	8123	7709	11241	11380	16320	3757	3543	14452	786	674	0	24.42			
60	8303	8209	8155	7716	11335	11473	16348	3747	3531	14384	819	668	0	24.42			
61	8297	8211	8154	7731	11420	11557	16366	3732	3518	14350	842	664	0	24.42			
62	8305	8205	8189	7742	11498	11641	16380	3709	3505	14358	854	662	0	24.42			
63	8302	8207	8186	7745	11573	11704	16383	3699	3495	14357	863	661	0	24.42			
64	8301	8210	8208	7756	11631	11768	16383	3688	3493	14311	868	659	0	24.42			
65	8306	8215	8198	7770	11688	11832	16383	3692	3486	14272	870	659	0	24.42			
66	8305	8216	8210	7777	11742	11883	16383	3687	3488	14148	868	654	0	24.42			
67	8307	8218	8209	7784	11790	11932	16383	3693	3485	13923	863	647	0	24.42			
68	8306	8218	8208	7796	11836	11975	16383	3689	3477	13729	856	640	0	24.42			
69	8304	8215	8200	7808	11871	12016	16383	3686	3468	13527	849	630	0	24.42			
70	8309	8211	8196	7815	11909	12052	16383	3678	3450	13253	835	618	0	24.42			
71	8303	8210	8188	7825	11941	12092	16383	3665	3439	12985	817	604	0	24.42			
72	8309	8205	8188	7838	11971	12110	16383	3663	3424	12731	801	591	0	24.42			
73	8307	8209	8173	7848	12000	12131	16383	3659	3417	12445	783	576	0	24.42			
74	8308	8212	8166	7853	12022	12148	16383	3653	3409	12171	777	561	0	24.42			
75	8313	8219	8154	7867	12046	12162	16383	3646	3405	11936	782	546	0	24.42			
76	8315	8226	8148	7879	12067	12177	16383	3640	3397	11703	780	533	0	24.42			
77	8313	8231	8140	7887	12092	12186	16383	3638	3392	11479	773	520	0	24.42			
78	8314	8228	8142	7892	12104	12195	16383	3627	3383	11265	760	507	0	24.42			
79	8311	8229	8118	7907	12118	12204	16383	3621	3376	11043	746	494	0	24.42			
80	8313	8225	8126	7920	12134	12216	16383	3617	3367	10848	732	481	0	24.42			
81	8309	8224	8119	7923	12146	12221	16383	3610	3351	10624	719	467	0	24.42			
82	8318	8222	8115	7934	12157	12229	16383	3594	3339	10370	704	453	0	24.42			
83	8315	8220	8118	7947	12174	12237	16383	3580	3324	10110	687	441	0	24.42			
84	8311	8227	8123	7958	12184	12243	16383	3571	3319	9909	670	429	0	24.42			
85	8313	8222	8122	7961	12183	12249	16383	3564	3312	9630	664	416	0	24.42			
86	8309	8222	8128	7974	12199	12259	16383	3567	3304	9366	630	401	0	24.42			
87	8303	8216	8130	7989	12207	12256	16383	3555	3309	9060	608	384	0	24.42			
88	8307	8208	8137	7997	12204	12263	16383	3566	3309	8742	586	367	0	24.42			
89	8307	8207	8137	8003	12209	12264	16383	3568	3309	8473	563	350	0	24.42			
90	8306	8204	8155	8017	12209	12268	16383	3570	3313	8271	548	336	0	24.42			
91	8308	8210	8166	8028	12216	12270	16383	3566	3308	8071	541	323	0	24.42			
