Time	Accel_1	Accel_2	Accel_3	Angle	Temp_1	Temp_2	Temp_3	PG_1	PG_2	PG_3	Lim_2	Lim_3	Lim_1	Internal_Temp	F_Names	F_Values	Prediction
1	8288	8272	8170	11665	0	0	117	4385	625	3662	5816	2238	0	24.34	Var_Accel1	1.668	4
2	8297	8236	8157	11663	0	0	230	3793	836	0	3631	1400	0	24.34	Var_Accel2	4.548	0.000
3	8299	8210	8074	11665	0	0	370	3225	1246	0	2250	862	0	24.34	Var_Accel3	12.742	31.250
4	8322	8191	8153	11663	0	2	530	2818	1854	0	1407	509	0	24.34	Mean_of_PG1	361.432	5.208
5	8322	8236	8160	11664	0	3	702	2564	2517	0	880	275	0	24.34	Mean_of_PG2	6351.577	8.889
6	8308	8242	8174	11663	0	4	883	2419	3054	0	548	118	0	24.34	Var_of_PG1	12762.871	54.653
7	8299	8239	8198	11662	0	5	1062	2340	3498	0	340	22	0	24.34	Var_of_PG2	1117579.5	25.000
8	8301	8239	8190	11665	0	5	1241	2262	4019	0	211	0	0	24.34	Slope_of_Angle	620703.813	
9	8302	8221	8194	11665	0	5	1421	2165	4611	0	124	0	0	24.34	Sum_Diff_Press	32351474.0	
10	8307	8213	8190	11661	2	6	1606	2051	5147	0	71	0	0	24.34	Temp_Diff_Var	2284.0	
11	8307	8203	8179	11665	10	9	1790	1924	5603	0	61	0	0	24.34	F11	-17227656.0	
12	8303	8197	8184	11663	29	18	1984	1787	6007	0	83	7	0	24.34	F12	1265.401	
13	8301	8203	8166	11664	61	36	2183	1657	6400	6157	240	272	0	24.34	F13	8088.0	
14	8309	8207	8171	11665	109	69	2370	1542	6827	7439	423	592	0	24.34	F14	23.0	
15	8307	8223	8150	11667	176	118	2577	1455	7254	8986	557	887	0	24.34	F15	24.0	
16	8309	8224	8148	11656	292	187	2828	1409	7635	10662	700	1180	0	24.34	F16	25.0	
17	8306	8220	8129	11659	468	292	3145	1417	7929	16320	1708	3186	0	24.34	F17	26.0	
