Time	Accel_1	Accel_2	Accel_3	Angle	Temp_1	Temp_2	Temp_3	PG_1	PG_2	PG_3	Lim_2	Lim_3	Lim_1	Internal_Temp	F_Names	F_Values	Prediction
1	8304	8158	8140	4625	0	0	114	344	3590	3782	4885	1602	0	27.15	Var_Accel1	4.92	3
2	8289	8216	8161	4625	0	0	223	526	2965	0	2948	1023	0	27.15	Var_Accel2	11.793	5.000
3	8289	8236	8145	4624	0	0	361	1121	2485	0	1776	621	0	27.15	Var_Accel3	74.503	15.000
4	8286	8202	8170	4625	0	0	519	1947	2222	0	1091	350	0	27.15	Mean_of_PG1	5598.592	0.000
5	8299	8224	8174	4625	0	1	690	2533	2102	0	697	167	0	27.15	Mean_of_PG2	351.605	40.000
6	8293	8231	8177	4626	6	4	868	2925	2044	0	487	49	0	27.15	Var_of_PG1	13722.003	40.000
7	8317	8230	8174	4627	25	14	1049	3336	1998	0	385	11	0	27.15	Var_of_PG2	453930.344	25.000
8	8323	8233	8165	4627	57	33	1235	3905	1941	0	347	57	0	27.15	Slope_of_Angle	994120.813	
9	8310	8217	8160	4628	104	68	1426	4475	1857	5488	461	290	0	27.15	Sum_Diff_Press	4527687.5	
10	8288	8216	8155	4628	170	118	1630	4981	1758	6688	614	572	0	27.15	Temp_Diff_Var	-2325.0	
11	8266	8205	8152	4628	279	188	1852	5325	1638	8047	770	837	0	27.15	F11	15090334.0	
12	8284	8199	8147	4628	451	289	2121	5625	1520	9732	1770	1142	0	27.15	F12	1291.875	
13	8299	8195	8139	4630	680	464	2454	5971	1366	16383	1536	3198	0	27.15	F13	7425.0	
14	8324	8199	8143	4628	948	699	2821	6378	1248	15771	1439	3143	0	27.15	F14	23.0	
15	8313	8192	8155	4629	1250	979	3224	6810	1157	16383	1390	2181	0	27.15	F15	24.0	
16	8297	8202	8158	4629	1576	1294	3645	7218	1113	16382	1357	1701	0	27.15	F16	25.0	
17	8291	8214	8158	4628	1920	1637	4080	7542	1108	16378	1313	1399	0	27.15	F17	26.0	
18	8294	8225	8152	4629	2278	2000	4522	7722	1157	16371	1262	1196	0	27.15	F18	27.0	
19	8293	8235	8144	4637	2641	2373	4970	7612	1325	16370	1932	1092	0	27.15			
20	8296	8251	8151	4637	2999	2736	5437	7039	1510	16370	1933	1026	0	27.15			
21	8300	8268	8097	4639	3359	3082	5944	5574	1724	16365	1666	972	0	27.15			
22	8332	8331	8343	4651	3724	3449	6479	3587	2694	16361	1468	933	0	27.15			
23	8384	8263	8264	4652	4098	3873	7001	3923	3251	16349	1321	895	0	27.15			
24	8529	8142	7997	4656	4469	4350	7504	4336	3308	16336	387	848	0	27.15			
25	8169	8272	8702	4669	4830	4748	7989	3488	3700	16204	1163	820	0	27.15			
26	8348	8286	7971	4690	5188	5122	8463	3638	3429	16297	749	802	0	27.15			
27	8587	8096	8221	4704	5536	5483	8930	3407	3270	16291	756	798	0	27.15			
28	8261	8186	8087	4717	5878	5836	9386	3318	3026	16284	872	794	0	27.15			
29	8299	8105	7810	4728	6214	6182	9838	3087	2765	16289	933	801	0	27.15			
30	8281	8160	7831	4738	6540	6520	10280	2797	2570	16296	953	806	0	27.15			
31	8139	8312	7651	4746	6857	6849	10709	2730	2423	16316	963	814	0	27.15			
32	8346	8086	7822	4758	7164	7167	11130	2667	2377	16322	952	818	0	27.15			
33	8322	8246	7834	4766	7466	7478	11509	2737	2386	16331	908	815	0	27.15			
34	8230	8234	7881	4773	7753	7777	11860	2838	2472	16341	975	816	0	27.15			
